director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Jason Zada , Natalie Dormer,Taylor Kitsch,unknown,Horror Thriller Mystery,the forest, Natalie Dormer Taylor Kitsch unknown Jason Zada  Horror Thriller Mystery
Tim Blake Nelson , Sam Waterston,Tim Blake Nelson,Kristen Stewart,Drama Thriller,anesthesia, Sam Waterston Tim Blake Nelson Kristen Stewart Tim Blake Nelson  Drama Thriller
Ross Partridge , Ross Partridge,Oona Laurence,Jess Weixler,Horror Drama Thriller,lamb, Ross Partridge Oona Laurence Jess Weixler Ross Partridge  Horror Drama Thriller
Tim Story , Ice Cube,Kevin Hart,unknown,Action Comedy,ride along 2, Ice Cube Kevin Hart unknown Tim Story  Action Comedy
Michael Bay , James Badge Dale,John Krasinski,Max Martini,War Action History Thriller Drama,13 hours: the secret soldiers of benghazi, James Badge Dale John Krasinski Max Martini Michael Bay  War Action History Thriller Drama
Trevor Wall , Rob Schneider,Heather Graham,Ken Jeong,Adventure Animation Comedy Family,norm of the north, Rob Schneider Heather Graham Ken Jeong Trevor Wall  Adventure Animation Comedy Family
Andrew Renzi , Richard Gere,Dakota Fanning,Theo James,Drama,the benefactor, Richard Gere Dakota Fanning Theo James Andrew Renzi  Drama
Dan Mazer , Zac Efron,Robert De Niro,Aubrey Plaza,Comedy,dirty grandpa, Zac Efron Robert De Niro Aubrey Plaza Dan Mazer  Comedy
J Blakeson , Chloë Grace Moretz,Liev Schreiber,unknown,Science Fiction Adventure Action,the 5th wave, Chloë Grace Moretz Liev Schreiber unknown J Blakeson  Science Fiction Adventure Action
William Brent Bell , Lauren Cohan,Rupert Evans,unknown,Horror Thriller Mystery,the boy, Lauren Cohan Rupert Evans unknown William Brent Bell  Horror Thriller Mystery
Jacob Gentry , Brianne Davis,Chad McKnight,Scott Poythress,Thriller Mystery Science Fiction,synchronicity, Brianne Davis Chad McKnight Scott Poythress Jacob Gentry  Thriller Mystery Science Fiction
"Jennifer Yuh Nelson, Alessandro Carloni ", Jack Black,Bryan Cranston,Dustin Hoffman,Action Adventure Animation Comedy Family,kung fu panda 3," Jack Black Bryan Cranston Dustin Hoffman Jennifer Yuh Nelson, Alessandro Carloni  Action Adventure Animation Comedy Family"
Craig Gillespie , Chris Pine,Casey Affleck,unknown,Action Drama History Thriller,the finest hours, Chris Pine Casey Affleck unknown Craig Gillespie  Action Drama History Thriller
Michael Tiddes , Marlon Wayans,Kali Hawk,Mike Epps,Romance Comedy,fifty shades of black, Marlon Wayans Kali Hawk Mike Epps Michael Tiddes  Romance Comedy
Gavin O'Connor , Natalie Portman,Joel Edgerton,unknown,Action Drama Western,jane got a gun, Natalie Portman Joel Edgerton unknown Gavin O'Connor  Action Drama Western
Coen Brothers , Josh Brolin,George Clooney,Alden Ehrenreich,Comedy Drama Mystery,"hail, caesar!", Josh Brolin George Clooney Alden Ehrenreich Coen Brothers  Comedy Drama Mystery
Burr Steers , Lily James,Sam Riley,Jack Huston,Romance Horror Comedy Thriller,pride + prejudice + zombies, Lily James Sam Riley Jack Huston Burr Steers  Romance Horror Comedy Thriller
Ross Katz , Benjamin Walker,Teresa Palmer,unknown,Drama Romance,the choice, Benjamin Walker Teresa Palmer unknown Ross Katz  Drama Romance
Tim Miller , Ryan Reynolds,Morena Baccarin,Ed Skrein,Action Adventure Comedy,deadpool, Ryan Reynolds Morena Baccarin Ed Skrein Tim Miller  Action Adventure Comedy
Ben Stiller , Ben Stiller,Owen Wilson,Penélope Cruz,Comedy,zoolander 2, Ben Stiller Owen Wilson Penélope Cruz Ben Stiller  Comedy
Christian Ditter , Dakota Johnson,Rebel Wilson,unknown,Comedy Romance,how to be single, Dakota Johnson Rebel Wilson unknown Christian Ditter  Comedy Romance
Kevin Reynolds , Joseph Fiennes,Tom Felton,unknown,Drama History,risen, Joseph Fiennes Tom Felton unknown Kevin Reynolds  Drama History
Robert Eggers , Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Horror,the witch, Anya Taylor-Joy Ralph Ineson Kate Dickie Robert Eggers  Horror
Stephen Hopkins , Stephan James,Jason Sudeikis,Jeremy Irons,Action Thriller Science Fiction,race, Stephan James Jason Sudeikis Jeremy Irons Stephen Hopkins  Action Thriller Science Fiction
Yuen Woo-ping , Donnie Yen,Michelle Yeoh,Harry Shum Jr.,Action Adventure Drama,"crouching tiger, hidden dragon: sword of destiny", Donnie Yen Michelle Yeoh Harry Shum Jr. Yuen Woo-ping  Action Adventure Drama
Alex Proyas , Nicolaj Coster-Waldau,Gerard Butler,Brenton Thwaites,Action Adventure Fantasy,gods of egypt, Nicolaj Coster-Waldau Gerard Butler Brenton Thwaites Alex Proyas  Action Adventure Fantasy
John Hillcoat , Casey Affleck,Aaron Paul,unknown,Action Thriller Mystery,triple 9, Casey Affleck Aaron Paul unknown John Hillcoat  Action Thriller Mystery
Dexter Fletcher , Taron Egerton,Hugh Jackman,Christopher Walken,Comedy Drama History Adventure,eddie the eagle, Taron Egerton Hugh Jackman Christopher Walken Dexter Fletcher  Comedy Drama History Adventure
"Byron Howard, Rich Moore ", Ginnifer Goodwin,Jason Bateman,Idris Elba,Animation Adventure Family Comedy,zootopia," Ginnifer Goodwin Jason Bateman Idris Elba Byron Howard, Rich Moore  Animation Adventure Family Comedy"
Babak Najafi , Gerard Butler,Aaron Eckhart,unknown,Action Thriller,london has fallen, Gerard Butler Aaron Eckhart unknown Babak Najafi  Action Thriller
"Glenn Ficarra, John Requa ", Tina Fey,Martin Freeman,unknown,Comedy Drama War,whiskey tango foxtrot," Tina Fey Martin Freeman unknown Glenn Ficarra, John Requa  Comedy Drama War"
Johannes Roberts , Sarah Wayne Callies,Jeremy Sisto,unknown,Thriller Horror,the other side of the door, Sarah Wayne Callies Jeremy Sisto unknown Johannes Roberts  Thriller Horror
Dan Trachtenberg , John Goodman,Mary Elizabeth Winstead,John Gallagher Jr.,Thriller Science Fiction Drama Horror,10 cloverfield lane, John Goodman Mary Elizabeth Winstead John Gallagher Jr. Dan Trachtenberg  Thriller Science Fiction Drama Horror
